xflr5 v6.47

Plane Name
T1-10.0 m/s-Panel-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,  10.000000
Beta  = ,   0.000�
Phi   = ,   0.000�
Ctrl  = ,   0.000
CL    = ,   1.216729
Cy    = ,   0.000000
Cd=,   0.051050,ICd=,    0.051050,PCd=,    0.000000
Cl   = ,4.25838e-16
Cm   =,    -1.55736
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,   10.816701, YCP=,   -0.000000, ZCP=,    1.021642 
XNP=,    0.000000
Bending =, 275043.031289

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -34.9003,   3.6043, -8.257, 0.412250, 0.000000, 0.059820,-2.591320, 0.000014, 0.0000, 0.0000, 0.2466, 0.0000
  -34.6619,   3.6613, -7.013, 0.685524, 0.000000, 0.084320,-3.781817,-0.033490, 0.0000, 0.0000, 0.2913, 2.6683
  -34.1867,   3.7749, -5.815, 0.925208, 0.000000, 0.094200,-4.710091,-0.041339, 0.0000, 0.0000, 0.2876,34.8760
  -33.4780,   3.9444, -4.736, 1.104337, 0.000000, 0.091460,-5.323352,-0.061393, 0.0000, 0.0000, 0.2985,175.4987
  -32.5406,   4.1686, -3.830, 1.225074, 0.000000, 0.081976,-5.503652,-0.078765, 0.0000, 0.0000, 0.3071,573.8634
  -31.3809,   4.4459, -3.130, 1.298445, 0.000000, 0.070964,-5.339182,-0.090534, 0.0000, 0.0000, 0.3124,1459.0847
  -30.0069,   4.7744, -2.639, 1.337369, 0.000000, 0.061581,-4.956481,-0.097621, 0.0000, 0.0000, 0.3156,3142.9139
  -28.4278,   5.1520, -2.326, 1.352701, 0.000000, 0.054883,-4.460802,-0.101624, 0.0000, 0.0000, 0.3177,6018.6337
  -26.6546,   5.5761, -2.151, 1.352139, 0.000000, 0.050715,-3.924322,-0.103770, 0.0000, 0.0000, 0.3194,10556.8645
  -24.6993,   6.0436, -2.076, 1.340662, 0.000000, 0.048505,-3.391284,-0.104816, 0.0000, 0.0000, 0.3209,17297.7209
  -22.5753,   6.5516, -2.070, 1.321342, 0.000000, 0.047670,-2.886691,-0.105202, 0.0000, 0.0000, 0.3224,26838.2902
  -20.2971,   7.0963, -2.114, 1.295980, 0.000000, 0.047727,-2.423208,-0.105185, 0.0000, 0.0000, 0.3240,39814.6182
  -17.8802,   7.6743, -2.191, 1.265551, 0.000000, 0.048290,-2.006028,-0.104918, 0.0000, 0.0000, 0.3259,56877.8154
  -15.3412,   8.2815, -2.289, 1.230457, 0.000000, 0.049037,-1.635919,-0.104524, 0.0000, 0.0000, 0.3281,78664.4138
  -12.6974,   8.9137, -2.396, 1.190665, 0.000000, 0.049651,-1.311374,-0.104149, 0.0000, 0.0000, 0.3308,105761.6055
   -9.9668,   9.5666, -2.496, 1.145765, 0.000000, 0.049742,-1.029846,-0.104059, 0.0000, 0.0000, 0.3344,138668.4513
   -7.1682,  10.2359, -2.563, 1.094977, 0.000000, 0.048725,-0.788770,-0.104885, 0.0000, 0.0000, 0.3397,177754.5236
   -4.3206,  10.9168, -2.537, 1.036970, 0.000000, 0.045444,-0.586648,-0.108233, 0.0000, 0.0000, 0.3489,223217.7937
   -1.4435,  11.6048, -2.239, 0.966575, 0.000000, 0.036244,-0.425486,-0.119681, 0.0000, 0.0000, 0.3698,275043.0313
    1.4435,  11.6048, -2.239, 0.966575, 0.000000, 0.036244,-0.425486,-0.119681, 0.0000, 0.0000, 0.3698,275043.0313
    4.3206,  10.9168, -2.537, 1.036970, 0.000000, 0.045444,-0.586648,-0.108233, 0.0000, 0.0000, 0.3489,223217.7937
    7.1682,  10.2359, -2.563, 1.094977, 0.000000, 0.048725,-0.788770,-0.104885, 0.0000, 0.0000, 0.3397,177754.5236
    9.9668,   9.5666, -2.496, 1.145765, 0.000000, 0.049742,-1.029846,-0.104059, 0.0000, 0.0000, 0.3344,138668.4513
   12.6974,   8.9137, -2.396, 1.190665, 0.000000, 0.049651,-1.311374,-0.104149, 0.0000, 0.0000, 0.3308,105761.6055
   15.3412,   8.2815, -2.289, 1.230457, 0.000000, 0.049037,-1.635919,-0.104524, 0.0000, 0.0000, 0.3281,78664.4138
   17.8802,   7.6743, -2.191, 1.265551, 0.000000, 0.048290,-2.006028,-0.104918, 0.0000, 0.0000, 0.3259,56877.8154
   20.2971,   7.0963, -2.114, 1.295980, 0.000000, 0.047727,-2.423208,-0.105185, 0.0000, 0.0000, 0.3240,39814.6182
   22.5753,   6.5516, -2.070, 1.321342, 0.000000, 0.047670,-2.886691,-0.105202, 0.0000, 0.0000, 0.3224,26838.2902
   24.6993,   6.0436, -2.076, 1.340662, 0.000000, 0.048505,-3.391284,-0.104816, 0.0000, 0.0000, 0.3209,17297.7209
   26.6546,   5.5761, -2.151, 1.352139, 0.000000, 0.050715,-3.924322,-0.103770, 0.0000, 0.0000, 0.3194,10556.8645
   28.4278,   5.1520, -2.326, 1.352701, 0.000000, 0.054883,-4.460802,-0.101624, 0.0000, 0.0000, 0.3177,6018.6337
   30.0069,   4.7744, -2.639, 1.337369, 0.000000, 0.061581,-4.956481,-0.097621, 0.0000, 0.0000, 0.3156,3142.9139
   31.3809,   4.4459, -3.130, 1.298445, 0.000000, 0.070964,-5.339182,-0.090534, 0.0000, 0.0000, 0.3124,1459.0847
   32.5406,   4.1686, -3.830, 1.225074, 0.000000, 0.081976,-5.503652,-0.078765, 0.0000, 0.0000, 0.3071,573.8634
   33.4780,   3.9444, -4.736, 1.104337, 0.000000, 0.091460,-5.323352,-0.061393, 0.0000, 0.0000, 0.2985,175.4987
   34.1867,   3.7749, -5.815, 0.925208, 0.000000, 0.094200,-4.710091,-0.041339, 0.0000, 0.0000, 0.2876,34.8760
   34.6619,   3.6613, -7.013, 0.685524, 0.000000, 0.084320,-3.781817,-0.033490, 0.0000, 0.0000, 0.2913, 2.6683
   34.9003,   3.6043, -8.257, 0.412250, 0.000000, 0.059820,-2.591320, 0.000014, 0.0000, 0.0000, 0.2466, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Strip 3
  65,   2.152e+01,  -3.416e+01,   1.256e+00,      -0.128,      -0.072,      -0.989,   3.282e-02,      0.0806
  66,   2.142e+01,  -3.416e+01,   1.269e+00,      -0.109,      -0.067,      -0.992,   9.630e-02,      0.1217
  67,   2.121e+01,  -3.416e+01,   1.276e+00,       0.009,      -0.032,      -0.999,   1.533e-01,      0.1233
  68,   2.091e+01,  -3.416e+01,   1.263e+00,       0.073,      -0.012,      -0.997,   2.025e-01,      0.0800
  69,   2.053e+01,  -3.416e+01,   1.227e+00,       0.113,       0.001,      -0.994,   2.406e-01,      0.0389
  70,   2.011e+01,  -3.417e+01,   1.178e+00,       0.120,       0.004,      -0.993,   2.641e-01,      0.0029
  71,   1.966e+01,  -3.417e+01,   1.128e+00,       0.099,      -0.005,      -0.995,   2.714e-01,     -0.0184
  72,   1.921e+01,  -3.417e+01,   1.095e+00,       0.049,      -0.026,      -0.998,   2.624e-01,     -0.0005
  73,   1.879e+01,  -3.417e+01,   1.087e+00,      -0.012,      -0.053,      -0.999,   2.391e-01,      0.0808
  74,   1.842e+01,  -3.417e+01,   1.102e+00,      -0.072,      -0.080,      -0.994,   2.028e-01,      0.2305
  75,   1.812e+01,  -3.417e+01,   1.132e+00,      -0.141,      -0.114,      -0.983,   1.554e-01,      0.4492
  76,   1.791e+01,  -3.417e+01,   1.175e+00,      -0.285,      -0.185,      -0.941,   1.011e-01,      0.6865
  77,   1.780e+01,  -3.416e+01,   1.226e+00,      -0.656,      -0.366,      -0.660,   4.837e-02,      0.1502
  78,   1.780e+01,  -3.416e+01,   1.303e+00,      -0.798,      -0.398,       0.453,   7.407e-02,     -2.6381
  79,   1.791e+01,  -3.416e+01,   1.399e+00,      -0.484,      -0.225,       0.846,   1.142e-01,     -2.5188
  80,   1.812e+01,  -3.416e+01,   1.490e+00,      -0.320,      -0.139,       0.937,   1.643e-01,     -1.7325
  81,   1.842e+01,  -3.415e+01,   1.570e+00,      -0.206,      -0.083,       0.975,   2.076e-01,     -1.3963
  82,   1.879e+01,  -3.415e+01,   1.627e+00,      -0.101,      -0.033,       0.994,   2.404e-01,     -1.1844
  83,   1.921e+01,  -3.415e+01,   1.647e+00,       0.003,       0.013,       1.000,   2.617e-01,     -0.9757
  84,   1.966e+01,  -3.415e+01,   1.624e+00,       0.097,       0.052,       0.994,   2.708e-01,     -0.7365
  85,   2.011e+01,  -3.415e+01,   1.565e+00,       0.163,       0.077,       0.984,   2.655e-01,     -0.5069
  86,   2.053e+01,  -3.416e+01,   1.487e+00,       0.204,       0.092,       0.975,   2.443e-01,     -0.3237
  87,   2.091e+01,  -3.416e+01,   1.406e+00,       0.222,       0.098,       0.970,   2.075e-01,     -0.1985
  88,   2.121e+01,  -3.416e+01,   1.337e+00,       0.226,       0.099,       0.969,   1.577e-01,     -0.1289
  89,   2.142e+01,  -3.416e+01,   1.286e+00,       0.240,       0.103,       0.965,   9.880e-02,     -0.0217
  90,   2.152e+01,  -3.416e+01,   1.260e+00,       0.243,       0.104,       0.964,   3.361e-02,      0.0560
Strip 4
  91,   2.132e+01,  -3.346e+01,   1.230e+00,      -0.128,      -0.072,      -0.989,   4.768e-02,      0.2079
  92,   2.121e+01,  -3.345e+01,   1.243e+00,      -0.109,      -0.067,      -0.992,   1.399e-01,      0.2597
  93,   2.099e+01,  -3.345e+01,   1.251e+00,       0.009,      -0.032,      -0.999,   2.227e-01,      0.2665
  94,   2.068e+01,  -3.346e+01,   1.237e+00,       0.073,      -0.012,      -0.997,   2.942e-01,      0.2162
  95,   2.029e+01,  -3.346e+01,   1.200e+00,       0.113,       0.001,      -0.994,   3.495e-01,      0.1612
  96,   1.985e+01,  -3.346e+01,   1.148e+00,       0.120,       0.004,      -0.993,   3.837e-01,      0.1110
  97,   1.938e+01,  -3.346e+01,   1.097e+00,       0.099,      -0.005,      -0.995,   3.942e-01,      0.0816
  98,   1.891e+01,  -3.346e+01,   1.062e+00,       0.049,      -0.026,      -0.998,   3.812e-01,      0.1015
  99,   1.847e+01,  -3.346e+01,   1.053e+00,      -0.012,      -0.053,      -0.999,   3.474e-01,      0.1914
 100,   1.808e+01,  -3.346e+01,   1.069e+00,      -0.072,      -0.080,      -0.994,   2.946e-01,      0.3452
 101,   1.777e+01,  -3.346e+01,   1.101e+00,      -0.141,      -0.114,      -0.984,   2.258e-01,      0.5520
 102,   1.755e+01,  -3.346e+01,   1.146e+00,      -0.285,      -0.185,      -0.941,   1.470e-01,      0.7337
 103,   1.744e+01,  -3.346e+01,   1.199e+00,      -0.656,      -0.365,      -0.661,   7.031e-02,     -0.0161
 104,   1.744e+01,  -3.345e+01,   1.279e+00,      -0.798,      -0.399,       0.452,   1.076e-01,     -3.1024
 105,   1.755e+01,  -3.345e+01,   1.380e+00,      -0.484,      -0.225,       0.845,   1.658e-01,     -2.8264
 106,   1.777e+01,  -3.345e+01,   1.475e+00,      -0.320,      -0.139,       0.937,   2.387e-01,     -1.9452
 107,   1.808e+01,  -3.344e+01,   1.559e+00,      -0.206,      -0.083,       0.975,   3.016e-01,     -1.5810
 108,   1.847e+01,  -3.344e+01,   1.618e+00,      -0.101,      -0.033,       0.994,   3.492e-01,     -1.3503
 109,   1.891e+01,  -3.344e+01,   1.638e+00,       0.003,       0.013,       1.000,   3.802e-01,     -1.1119
 110,   1.938e+01,  -3.344e+01,   1.615e+00,       0.097,       0.052,       0.994,   3.935e-01,     -0.8292
 111,   1.985e+01,  -3.345e+01,   1.553e+00,       0.163,       0.077,       0.984,   3.858e-01,     -0.5480
 112,   2.029e+01,  -3.345e+01,   1.471e+00,       0.204,       0.092,       0.975,   3.550e-01,     -0.3132
 113,   2.068e+01,  -3.345e+01,   1.386e+00,       0.222,       0.098,       0.970,   3.015e-01,     -0.1425
 114,   2.099e+01,  -3.345e+01,   1.314e+00,       0.226,       0.099,       0.969,   2.291e-01,     -0.0363
 115,   2.121e+01,  -3.345e+01,   1.262e+00,       0.240,       0.103,       0.965,   1.436e-01,      0.0936
 116,   2.132e+01,  -3.346e+01,   1.234e+00,       0.243,       0.104,       0.964,   4.884e-02,      0.1809
Strip 5
 117,   2.106e+01,  -3.252e+01,   1.196e+00,      -0.128,      -0.072,      -0.989,   6.420e-02,      0.2506
 118,   2.094e+01,  -3.252e+01,   1.210e+00,      -0.109,      -0.067,      -0.992,   1.884e-01,      0.3086
 119,   2.071e+01,  -3.252e+01,   1.219e+00,       0.009,      -0.032,      -0.999,   2.998e-01,      0.3218
 120,   2.038e+01,  -3.252e+01,   1.203e+00,       0.073,      -0.012,      -0.997,   3.961e-01,      0.2747
 121,   1.997e+01,  -3.252e+01,   1.164e+00,       0.113,       0.001,      -0.994,   4.705e-01,      0.2212
 122,   1.950e+01,  -3.252e+01,   1.110e+00,       0.120,       0.004,      -0.993,   5.166e-01,      0.1725
 123,   1.900e+01,  -3.252e+01,   1.055e+00,       0.099,      -0.005,      -0.995,   5.307e-01,      0.1460
 124,   1.851e+01,  -3.252e+01,   1.018e+00,       0.049,      -0.026,      -0.998,   5.132e-01,      0.1689
 125,   1.804e+01,  -3.252e+01,   1.009e+00,      -0.012,      -0.053,      -0.999,   4.677e-01,      0.2590
 126,   1.763e+01,  -3.252e+01,   1.026e+00,      -0.072,      -0.080,      -0.994,   3.967e-01,      0.4076
 127,   1.730e+01,  -3.252e+01,   1.059e+00,      -0.141,      -0.114,      -0.984,   3.040e-01,      0.6031
 128,   1.707e+01,  -3.252e+01,   1.107e+00,      -0.285,      -0.185,      -0.941,   1.979e-01,      0.7458
 129,   1.695e+01,  -3.252e+01,   1.163e+00,      -0.655,      -0.365,      -0.661,   9.472e-02,     -0.1550
 130,   1.695e+01,  -3.252e+01,   1.247e+00,      -0.798,      -0.399,       0.451,   1.448e-01,     -3.4397
 131,   1.707e+01,  -3.251e+01,   1.354e+00,      -0.485,      -0.225,       0.845,   2.231e-01,     -3.0428
 132,   1.730e+01,  -3.251e+01,   1.454e+00,      -0.320,      -0.139,       0.937,   3.212e-01,     -2.0885
 133,   1.763e+01,  -3.251e+01,   1.543e+00,      -0.206,      -0.083,       0.975,   4.060e-01,     -1.7035
 134,   1.804e+01,  -3.251e+01,   1.606e+00,      -0.101,      -0.033,       0.994,   4.701e-01,     -1.4634
 135,   1.851e+01,  -3.251e+01,   1.628e+00,       0.003,       0.013,       1.000,   5.119e-01,     -1.2128
 136,   1.900e+01,  -3.251e+01,   1.602e+00,       0.097,       0.052,       0.994,   5.298e-01,     -0.9104
 137,   1.950e+01,  -3.251e+01,   1.538e+00,       0.163,       0.077,       0.984,   5.196e-01,     -0.6046
 138,   1.997e+01,  -3.251e+01,   1.451e+00,       0.204,       0.092,       0.975,   4.780e-01,     -0.3445
 139,   2.038e+01,  -3.251e+01,   1.361e+00,       0.222,       0.098,       0.970,   4.060e-01,     -0.1506
 140,   2.071e+01,  -3.252e+01,   1.285e+00,       0.226,       0.099,       0.969,   3.085e-01,     -0.0259
 141,   2.094e+01,  -3.252e+01,   1.230e+00,       0.240,       0.103,       0.965,   1.933e-01,      0.1172
 142,   2.106e+01,  -3.252e+01,   1.200e+00,       0.243,       0.104,       0.965,   6.577e-02,      0.2112
Strip 6
