xflr5 v6.47

Plane Name
T1-10.0 m/s-Panel-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,   0.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.384561
Cy    = ,   0.000000
Cd=,   0.005172,ICd=,    0.005172,PCd=,    0.000000
Cl   = ,-5.09131e-16
Cm   =,   -0.548252
ICn=,    0.000000,PCn=,    0.000000
XCP=,   12.149461, YCP=,    0.000000, ZCP=,    1.386644 
XNP=,    0.000000
Bending =, 87743.858530

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -34.9003,   3.6043, -3.894, 0.144920, 0.000000, 0.009865,-0.939486,-0.043073, 0.0000, 0.0000, 0.5018, 0.0000
  -34.6619,   3.6613, -2.994, 0.236901, 0.000000, 0.012393,-1.319396,-0.066807, 0.0000, 0.0000, 0.5243, 0.9380
  -34.1867,   3.7749, -2.215, 0.311640, 0.000000, 0.012056,-1.580073,-0.078495, 0.0000, 0.0000, 0.5076,12.0998
  -33.4780,   3.9444, -1.638, 0.363628, 0.000000, 0.010401,-1.743732,-0.088898, 0.0000, 0.0000, 0.4992,59.9331
  -32.5406,   4.1686, -1.237, 0.396806, 0.000000, 0.008568,-1.775697,-0.095582, 0.0000, 0.0000, 0.4939,193.1269
  -31.3809,   4.4459, -0.971, 0.416230, 0.000000, 0.007057,-1.709212,-0.099414, 0.0000, 0.0000, 0.4910,485.0012
  -30.0069,   4.7744, -0.804, 0.426164, 0.000000, 0.005980,-1.583403,-0.101514, 0.0000, 0.0000, 0.4899,1034.3744
  -28.4278,   5.1520, -0.705, 0.429691, 0.000000, 0.005285,-1.428167,-0.102639, 0.0000, 0.0000, 0.4905,1965.4616
  -26.6546,   5.5761, -0.652, 0.428872, 0.000000, 0.004880,-1.263365,-0.103224, 0.0000, 0.0000, 0.4924,3426.8128
  -24.6993,   6.0436, -0.631, 0.425023, 0.000000, 0.004682,-1.101057,-0.103498, 0.0000, 0.0000, 0.4955,5589.0387
  -22.5753,   6.5516, -0.632, 0.418958, 0.000000, 0.004623,-0.948053,-0.103586, 0.0000, 0.0000, 0.4996,8641.0109
  -20.2971,   7.0963, -0.648, 0.411154, 0.000000, 0.004653,-0.807779,-0.103558, 0.0000, 0.0000, 0.5047,12784.3066
  -17.8802,   7.6743, -0.675, 0.401866, 0.000000, 0.004737,-0.681573,-0.103451, 0.0000, 0.0000, 0.5108,18225.7789
  -15.3412,   8.2815, -0.709, 0.391187, 0.000000, 0.004844,-0.569554,-0.103290, 0.0000, 0.0000, 0.5182,25168.2906
  -12.6974,   8.9137, -0.747, 0.379080, 0.000000, 0.004947,-0.471196,-0.103098, 0.0000, 0.0000, 0.5271,33799.7974
   -9.9668,   9.5666, -0.785, 0.365383, 0.000000, 0.005009,-0.385657,-0.102912, 0.0000, 0.0000, 0.5380,44281.0915
   -7.1682,  10.2359, -0.814, 0.349794, 0.000000, 0.004975,-0.312048,-0.102810, 0.0000, 0.0000, 0.5519,56732.6033
   -4.3206,  10.9168, -0.813, 0.331806, 0.000000, 0.004715,-0.249623,-0.102988, 0.0000, 0.0000, 0.5708,71220.7071
   -1.4435,  11.6048, -0.693, 0.310446, 0.000000, 0.003766,-0.198352,-0.104013, 0.0000, 0.0000, 0.5989,87743.8585
    1.4435,  11.6048, -0.693, 0.310446, 0.000000, 0.003766,-0.198352,-0.104013, 0.0000, 0.0000, 0.5989,87743.8585
    4.3206,  10.9168, -0.813, 0.331806, 0.000000, 0.004715,-0.249623,-0.102988, 0.0000, 0.0000, 0.5708,71220.7071
    7.1682,  10.2359, -0.814, 0.349794, 0.000000, 0.004975,-0.312048,-0.102810, 0.0000, 0.0000, 0.5519,56732.6033
    9.9668,   9.5666, -0.785, 0.365383, 0.000000, 0.005009,-0.385657,-0.102912, 0.0000, 0.0000, 0.5380,44281.0915
   12.6974,   8.9137, -0.747, 0.379080, 0.000000, 0.004947,-0.471196,-0.103098, 0.0000, 0.0000, 0.5271,33799.7974
   15.3412,   8.2815, -0.709, 0.391187, 0.000000, 0.004844,-0.569554,-0.103290, 0.0000, 0.0000, 0.5182,25168.2906
   17.8802,   7.6743, -0.675, 0.401866, 0.000000, 0.004737,-0.681573,-0.103451, 0.0000, 0.0000, 0.5108,18225.7789
   20.2971,   7.0963, -0.648, 0.411154, 0.000000, 0.004653,-0.807779,-0.103558, 0.0000, 0.0000, 0.5047,12784.3066
   22.5753,   6.5516, -0.632, 0.418958, 0.000000, 0.004623,-0.948053,-0.103586, 0.0000, 0.0000, 0.4996,8641.0109
   24.6993,   6.0436, -0.631, 0.425023, 0.000000, 0.004682,-1.101057,-0.103498, 0.0000, 0.0000, 0.4955,5589.0387
   26.6546,   5.5761, -0.652, 0.428872, 0.000000, 0.004880,-1.263365,-0.103224, 0.0000, 0.0000, 0.4924,3426.8128
   28.4278,   5.1520, -0.705, 0.429691, 0.000000, 0.005285,-1.428167,-0.102639, 0.0000, 0.0000, 0.4905,1965.4616
   30.0069,   4.7744, -0.804, 0.426164, 0.000000, 0.005980,-1.583403,-0.101514, 0.0000, 0.0000, 0.4899,1034.3744
   31.3809,   4.4459, -0.971, 0.416230, 0.000000, 0.007057,-1.709212,-0.099414, 0.0000, 0.0000, 0.4910,485.0012
   32.5406,   4.1686, -1.237, 0.396806, 0.000000, 0.008568,-1.775697,-0.095582, 0.0000, 0.0000, 0.4939,193.1269
   33.4780,   3.9444, -1.638, 0.363628, 0.000000, 0.010401,-1.743732,-0.088898, 0.0000, 0.0000, 0.4992,59.9331
   34.1867,   3.7749, -2.215, 0.311640, 0.000000, 0.012056,-1.580073,-0.078495, 0.0000, 0.0000, 0.5076,12.0998
   34.6619,   3.6613, -2.994, 0.236901, 0.000000, 0.012393,-1.319396,-0.066807, 0.0000, 0.0000, 0.5243, 0.9380
   34.9003,   3.6043, -3.894, 0.144920, 0.000000, 0.009865,-0.939486,-0.043073, 0.0000, 0.0000, 0.5018, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
  65,   2.152e+01,  -3.416e+01,   1.256e+00,      -0.128,      -0.072,      -0.989,   3.282e-02,      0.2292
  66,   2.142e+01,  -3.416e+01,   1.269e+00,      -0.109,      -0.067,      -0.992,   9.630e-02,      0.2738
  67,   2.121e+01,  -3.416e+01,   1.276e+00,       0.009,      -0.032,      -0.999,   1.533e-01,      0.2845
  68,   2.091e+01,  -3.416e+01,   1.263e+00,       0.073,      -0.012,      -0.997,   2.025e-01,      0.2161
  69,   2.053e+01,  -3.416e+01,   1.227e+00,       0.113,       0.001,      -0.994,   2.406e-01,      0.1322
  70,   2.011e+01,  -3.417e+01,   1.178e+00,       0.120,       0.004,      -0.993,   2.641e-01,      0.0311
  71,   1.966e+01,  -3.417e+01,   1.128e+00,       0.099,      -0.005,      -0.995,   2.714e-01,     -0.0757
  72,   1.921e+01,  -3.417e+01,   1.095e+00,       0.049,      -0.026,      -0.998,   2.624e-01,     -0.1627
  73,   1.879e+01,  -3.417e+01,   1.087e+00,      -0.012,      -0.053,      -0.999,   2.391e-01,     -0.2036
  74,   1.842e+01,  -3.417e+01,   1.102e+00,      -0.072,      -0.080,      -0.994,   2.028e-01,     -0.2059
  75,   1.812e+01,  -3.417e+01,   1.132e+00,      -0.141,      -0.114,      -0.983,   1.554e-01,     -0.1965
  76,   1.791e+01,  -3.417e+01,   1.175e+00,      -0.285,      -0.185,      -0.941,   1.011e-01,     -0.1540
  77,   1.780e+01,  -3.416e+01,   1.226e+00,      -0.656,      -0.366,      -0.660,   4.837e-02,      0.2638
  78,   1.780e+01,  -3.416e+01,   1.303e+00,      -0.798,      -0.398,       0.453,   7.407e-02,      0.5771
  79,   1.791e+01,  -3.416e+01,   1.399e+00,      -0.484,      -0.225,       0.846,   1.142e-01,     -0.1927
  80,   1.812e+01,  -3.416e+01,   1.490e+00,      -0.320,      -0.139,       0.937,   1.643e-01,     -0.4241
  81,   1.842e+01,  -3.415e+01,   1.570e+00,      -0.206,      -0.083,       0.975,   2.076e-01,     -0.5485
  82,   1.879e+01,  -3.415e+01,   1.627e+00,      -0.101,      -0.033,       0.994,   2.404e-01,     -0.6051
  83,   1.921e+01,  -3.415e+01,   1.647e+00,       0.003,       0.013,       1.000,   2.617e-01,     -0.5802
  84,   1.966e+01,  -3.415e+01,   1.624e+00,       0.097,       0.052,       0.994,   2.708e-01,     -0.4724
  85,   2.011e+01,  -3.415e+01,   1.565e+00,       0.163,       0.077,       0.984,   2.655e-01,     -0.3240
  86,   2.053e+01,  -3.416e+01,   1.487e+00,       0.204,       0.092,       0.975,   2.443e-01,     -0.1815
  87,   2.091e+01,  -3.416e+01,   1.406e+00,       0.222,       0.098,       0.970,   2.075e-01,     -0.0697
  88,   2.121e+01,  -3.416e+01,   1.337e+00,       0.226,       0.099,       0.969,   1.577e-01,     -0.0012
  89,   2.142e+01,  -3.416e+01,   1.286e+00,       0.240,       0.103,       0.965,   9.880e-02,      0.0970
  90,   2.152e+01,  -3.416e+01,   1.260e+00,       0.243,       0.104,       0.964,   3.361e-02,      0.1699
Strip 4
  91,   2.132e+01,  -3.346e+01,   1.230e+00,      -0.128,      -0.072,      -0.989,   4.768e-02,      0.2485
  92,   2.121e+01,  -3.345e+01,   1.243e+00,      -0.109,      -0.067,      -0.992,   1.399e-01,      0.2962
  93,   2.099e+01,  -3.345e+01,   1.251e+00,       0.009,      -0.032,      -0.999,   2.227e-01,      0.3093
  94,   2.068e+01,  -3.346e+01,   1.237e+00,       0.073,      -0.012,      -0.997,   2.942e-01,      0.2388
  95,   2.029e+01,  -3.346e+01,   1.200e+00,       0.113,       0.001,      -0.994,   3.495e-01,      0.1486
  96,   1.985e+01,  -3.346e+01,   1.148e+00,       0.120,       0.004,      -0.993,   3.837e-01,      0.0394
  97,   1.938e+01,  -3.346e+01,   1.097e+00,       0.099,      -0.005,      -0.995,   3.942e-01,     -0.0745
  98,   1.891e+01,  -3.346e+01,   1.062e+00,       0.049,      -0.026,      -0.998,   3.812e-01,     -0.1638
  99,   1.847e+01,  -3.346e+01,   1.053e+00,      -0.012,      -0.053,      -0.999,   3.474e-01,     -0.1994
 100,   1.808e+01,  -3.346e+01,   1.069e+00,      -0.072,      -0.080,      -0.994,   2.946e-01,     -0.1914
 101,   1.777e+01,  -3.346e+01,   1.101e+00,      -0.141,      -0.114,      -0.984,   2.258e-01,     -0.1719
 102,   1.755e+01,  -3.346e+01,   1.146e+00,      -0.285,      -0.185,      -0.941,   1.470e-01,     -0.1154
 103,   1.744e+01,  -3.346e+01,   1.199e+00,      -0.656,      -0.365,      -0.661,   7.031e-02,      0.3044
 104,   1.744e+01,  -3.345e+01,   1.279e+00,      -0.798,      -0.399,       0.452,   1.076e-01,      0.5796
 105,   1.755e+01,  -3.345e+01,   1.380e+00,      -0.484,      -0.225,       0.845,   1.658e-01,     -0.2068
 106,   1.777e+01,  -3.345e+01,   1.475e+00,      -0.320,      -0.139,       0.937,   2.387e-01,     -0.4476
 107,   1.808e+01,  -3.344e+01,   1.559e+00,      -0.206,      -0.083,       0.975,   3.016e-01,     -0.5898
 108,   1.847e+01,  -3.344e+01,   1.618e+00,      -0.101,      -0.033,       0.994,   3.492e-01,     -0.6670
 109,   1.891e+01,  -3.344e+01,   1.638e+00,       0.003,       0.013,       1.000,   3.802e-01,     -0.6535
 110,   1.938e+01,  -3.344e+01,   1.615e+00,       0.097,       0.052,       0.994,   3.935e-01,     -0.5421
 111,   1.985e+01,  -3.345e+01,   1.553e+00,       0.163,       0.077,       0.984,   3.858e-01,     -0.3786
 112,   2.029e+01,  -3.345e+01,   1.471e+00,       0.204,       0.092,       0.975,   3.550e-01,     -0.2165
 113,   2.068e+01,  -3.345e+01,   1.386e+00,       0.222,       0.098,       0.970,   3.015e-01,     -0.0859
 114,   2.099e+01,  -3.345e+01,   1.314e+00,       0.226,       0.099,       0.969,   2.291e-01,     -0.0018
 115,   2.121e+01,  -3.345e+01,   1.262e+00,       0.240,       0.103,       0.965,   1.436e-01,      0.1078
 116,   2.132e+01,  -3.346e+01,   1.234e+00,       0.243,       0.104,       0.964,   4.884e-02,      0.1862
Strip 5
 117,   2.106e+01,  -3.252e+01,   1.196e+00,      -0.128,      -0.072,      -0.989,   6.420e-02,      0.2530
 118,   2.094e+01,  -3.252e+01,   1.210e+00,      -0.109,      -0.067,      -0.992,   1.884e-01,      0.3023
 119,   2.071e+01,  -3.252e+01,   1.219e+00,       0.009,      -0.032,      -0.999,   2.998e-01,      0.3172
 120,   2.038e+01,  -3.252e+01,   1.203e+00,       0.073,      -0.012,      -0.997,   3.961e-01,      0.2469
 121,   1.997e+01,  -3.252e+01,   1.164e+00,       0.113,       0.001,      -0.994,   4.705e-01,      0.1557
 122,   1.950e+01,  -3.252e+01,   1.110e+00,       0.120,       0.004,      -0.993,   5.166e-01,      0.0451
 123,   1.900e+01,  -3.252e+01,   1.055e+00,       0.099,      -0.005,      -0.995,   5.307e-01,     -0.0691
 124,   1.851e+01,  -3.252e+01,   1.018e+00,       0.049,      -0.026,      -0.998,   5.132e-01,     -0.1568
 125,   1.804e+01,  -3.252e+01,   1.009e+00,      -0.012,      -0.053,      -0.999,   4.677e-01,     -0.1893
 126,   1.763e+01,  -3.252e+01,   1.026e+00,      -0.072,      -0.080,      -0.994,   3.967e-01,     -0.1780
 127,   1.730e+01,  -3.252e+01,   1.059e+00,      -0.141,      -0.114,      -0.984,   3.040e-01,     -0.1548
 128,   1.707e+01,  -3.252e+01,   1.107e+00,      -0.285,      -0.185,      -0.941,   1.979e-01,     -0.0901
 129,   1.695e+01,  -3.252e+01,   1.163e+00,      -0.655,      -0.365,      -0.661,   9.472e-02,      0.3312
 130,   1.695e+01,  -3.252e+01,   1.247e+00,      -0.798,      -0.399,       0.451,   1.448e-01,      0.5717
 131,   1.707e+01,  -3.251e+01,   1.354e+00,      -0.485,      -0.225,       0.845,   2.231e-01,     -0.2256
 132,   1.730e+01,  -3.251e+01,   1.454e+00,      -0.320,      -0.139,       0.937,   3.212e-01,     -0.4678
 133,   1.763e+01,  -3.251e+01,   1.543e+00,      -0.206,      -0.083,       0.975,   4.060e-01,     -0.6150
 134,   1.804e+01,  -3.251e+01,   1.606e+00,      -0.101,      -0.033,       0.994,   4.701e-01,     -0.6997
 135,   1.851e+01,  -3.251e+01,   1.628e+00,       0.003,       0.013,       1.000,   5.119e-01,     -0.6925
 136,   1.900e+01,  -3.251e+01,   1.602e+00,       0.097,       0.052,       0.994,   5.298e-01,     -0.5820
 137,   1.950e+01,  -3.251e+01,   1.538e+00,       0.163,       0.077,       0.984,   5.196e-01,     -0.4138
 138,   1.997e+01,  -3.251e+01,   1.451e+00,       0.204,       0.092,       0.975,   4.780e-01,     -0.2433
 139,   2.038e+01,  -3.251e+01,   1.361e+00,       0.222,       0.098,       0.970,   4.060e-01,     -0.1035
 140,   2.071e+01,  -3.252e+01,   1.285e+00,       0.226,       0.099,       0.969,   3.085e-01,     -0.0114
 141,   2.094e+01,  -3.252e+01,   1.230e+00,       0.240,       0.103,       0.965,   1.933e-01,      0.1046
 142,   2.106e+01,  -3.252e+01,   1.200e+00,       0.243,       0.104,       0.965,   6.577e-02,      0.1863
Strip 6
